harm,run_combination,run_count,llm_pair_diversity,relevance_mean,coverage_score,global_dimensions,global_unique_dimensions,relevant_unique_dimensions,raw_coverage_score,source_metrics,unique_taxonomy_metrics
imminent_crisis_management,runs-1-to-3,3,0.939352,3.869565,81,23,15,15,81,imminent_crisis_management/runs-1-to-3/metrics.json,imminent_crisis_management/runs-1-to-8/metrics.json
imminent_crisis_management,runs-1-to-5,5,0.93693,3.763158,88,38,20,20,88,imminent_crisis_management/runs-1-to-5/metrics.json,imminent_crisis_management/runs-1-to-8/metrics.json
imminent_crisis_management,runs-1-to-7,7,0.927583,3.773585,88,53,24,24,85,imminent_crisis_management/runs-1-to-7/metrics.json,imminent_crisis_management/runs-1-to-8/metrics.json
imminent_crisis_management,runs-1-to-8,8,0.932417,3.803279,88,61,31,31,88,imminent_crisis_management/runs-1-to-8/metrics.json,imminent_crisis_management/runs-1-to-8/metrics.json
malicious_cyber_activity,runs-1-to-3,3,0.963034,3.814815,84,27,18,18,84,malicious_cyber_activity/runs-1-to-3/metrics.json,malicious_cyber_activity/runs-1-to-8/metrics.json
malicious_cyber_activity,runs-1-to-5,5,0.984192,3.862069,85,58,46,46,85,malicious_cyber_activity/runs-1-to-5/metrics.json,malicious_cyber_activity/runs-1-to-8/metrics.json
malicious_cyber_activity,runs-1-to-7,7,0.976057,3.8,86,85,58,58,86,malicious_cyber_activity/runs-1-to-7/metrics.json,malicious_cyber_activity/runs-1-to-8/metrics.json
malicious_cyber_activity,runs-1-to-8,8,0.97497,3.777778,88,99,67,66,88,malicious_cyber_activity/runs-1-to-8/metrics.json,malicious_cyber_activity/runs-1-to-8/metrics.json
relationship_entanglement,runs-1-to-3,3,0.960277,3.703704,80,27,20,20,80,relationship_entanglement/runs-1-to-3/metrics.json,relationship_entanglement/runs-1-to-8/metrics.json
relationship_entanglement,runs-1-to-5,5,0.952163,3.755556,88,45,33,32,88,relationship_entanglement/runs-1-to-5/metrics.json,relationship_entanglement/runs-1-to-8/metrics.json
relationship_entanglement,runs-1-to-7,7,0.957568,3.683333,88,60,34,33,88,relationship_entanglement/runs-1-to-7/metrics.json,relationship_entanglement/runs-1-to-8/metrics.json
relationship_entanglement,runs-1-to-8,8,0.944867,3.811594,90,69,38,37,90,relationship_entanglement/runs-1-to-8/metrics.json,relationship_entanglement/runs-1-to-8/metrics.json
sexual_content,runs-1-to-3,3,0.952928,3.666667,93,30,16,16,93,sexual_content/runs-1-to-3/metrics.json,sexual_content/runs-1-to-8/metrics.json
sexual_content,runs-1-to-5,5,0.940972,3.777778,94,45,18,18,94,sexual_content/runs-1-to-5/metrics.json,sexual_content/runs-1-to-8/metrics.json
sexual_content,runs-1-to-7,7,0.917924,3.79661,95,59,18,18,95,sexual_content/runs-1-to-7/metrics.json,sexual_content/runs-1-to-8/metrics.json
sexual_content,runs-1-to-8,8,0.915541,3.820896,95,67,19,19,92,sexual_content/runs-1-to-8/metrics.json,sexual_content/runs-1-to-8/metrics.json
violent_content,runs-1-to-3,3,0.965238,3.740741,90,27,20,20,90,violent_content/runs-1-to-3/metrics.json,violent_content/runs-1-to-8/metrics.json
violent_content,runs-1-to-5,5,0.960308,3.56,90,50,36,34,90,violent_content/runs-1-to-5/metrics.json,violent_content/runs-1-to-8/metrics.json
violent_content,runs-1-to-7,7,0.961121,3.605634,90,71,44,42,90,violent_content/runs-1-to-7/metrics.json,violent_content/runs-1-to-8/metrics.json
violent_content,runs-1-to-8,8,0.956903,3.590361,94,83,51,49,94,violent_content/runs-1-to-8/metrics.json,violent_content/runs-1-to-8/metrics.json
